icmp,arp,enip,cip_req,cip_res,tcp_A,tcp_FPA,tcp_S,tcp_FA,tcp_R,tcp_SA,tcp_PA,tcp_NOT_TCP,Y
0,0,14,7,7,42,0,7,13,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,52,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,2,2,2,8,0,1,2,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,3,3,14,0,2,4,0,2,0,0,0
0,0,2,1,1,6,0,1,2,0,1,0,0,0
0,0,14,7,6,40,0,7,12,0,7,0,0,0
0,0,16,9,10,52,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,12,6,6,37,0,7,12,0,7,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,4,2,2,12,0,2,4,0,2,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,10,5,5,29,0,4,10,0,4,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,17,8,8,49,0,8,16,0,8,0,0,0
0,0,15,8,8,46,0,7,16,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,14,8,9,46,0,8,16,0,7,0,0,0
0,0,16,8,8,48,0,7,16,0,8,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,12,6,7,39,0,7,14,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,12,7,7,39,0,7,12,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,7,7,44,0,7,14,0,7,0,0,0
0,0,16,10,10,53,0,9,18,0,8,0,0,0
0,0,16,8,8,48,0,7,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,47,0,8,14,0,8,0,0,0
0,0,10,6,6,33,0,5,12,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,2,2,12,0,2,4,0,2,0,0,0
0,0,4,3,3,14,0,2,4,0,2,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,49,0,8,14,0,8,0,0,0
0,0,12,6,6,37,0,6,14,0,6,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,8,5,5,26,0,4,8,0,4,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,13,6,6,38,0,7,12,0,7,0,0,0
0,0,17,10,10,55,0,9,18,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,8,8,45,0,8,14,0,8,0,0,0
0,0,16,8,8,46,0,7,14,0,7,0,0,0
0,0,12,7,7,39,0,6,14,0,6,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,8,48,0,8,14,0,8,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
1,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,8,5,5,26,0,4,8,0,4,0,0,0
0,0,2,1,0,4,0,1,0,0,1,0,0,0
0,0,2,1,2,8,0,1,4,0,1,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,8,8,44,0,8,14,0,7,0,0,0
0,0,16,8,8,48,0,7,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,9,16,0,8,0,0,0
0,0,16,8,8,48,0,7,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,20,11,11,61,0,9,20,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
1,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,16,9,10,52,0,8,18,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,49,0,8,14,0,8,0,0,0
0,0,10,5,5,31,0,5,12,0,5,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
0,0,16,8,8,47,0,8,14,0,8,0,0,0
0,0,14,7,7,44,0,8,16,0,8,0,0,0
0,0,15,8,8,45,0,7,14,0,7,0,0,0
0,0,15,8,8,46,0,7,16,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,8,49,0,9,16,0,9,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,18,9,8,51,0,8,16,0,8,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,17,9,9,52,0,9,16,0,9,0,0,0
0,0,15,8,8,46,0,7,16,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,6,40,0,7,12,0,7,0,0,0
0,0,16,9,10,51,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,7,16,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,14,8,9,47,0,8,16,0,8,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,8,48,0,8,14,0,8,0,0,0
0,0,12,6,7,38,0,6,14,0,6,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,15,7,7,44,0,8,14,0,8,0,0,0
0,0,15,9,9,48,0,7,16,0,7,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,49,0,8,14,0,8,0,0,0
0,0,14,7,7,43,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,8,8,45,0,8,14,0,8,0,0,0
0,0,12,6,6,35,0,5,12,0,5,0,0,0
0,0,18,10,8,53,0,9,16,0,9,0,0,0
0,0,16,8,10,51,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,49,0,8,16,0,7,0,0,0
0,0,16,8,8,48,0,7,16,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,14,8,9,46,0,7,16,0,7,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,16,9,10,52,0,8,18,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,15,7,7,43,0,7,14,0,7,0,0,0
0,0,17,10,10,54,0,8,18,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,49,0,8,14,0,8,0,0,0
0,0,14,7,7,43,0,7,16,0,7,0,0,0
0,0,14,7,7,41,0,7,12,0,7,0,0,0
0,0,16,9,9,51,0,8,18,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,50,0,9,16,0,8,0,0,0
0,0,14,7,7,42,0,6,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,55,0,9,16,0,9,0,0,0
0,0,14,7,7,43,0,7,16,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,4,3,3,15,0,3,4,0,3,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,14,8,8,43,0,7,12,0,7,0,0,0
0,0,16,8,8,49,0,8,18,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,6,4,4,20,0,3,6,0,3,0,0,0
0,0,14,7,6,40,0,7,12,0,7,0,0,0
0,0,14,8,9,46,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,15,7,7,44,0,9,14,0,9,0,0,0
0,0,17,10,10,54,0,7,18,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,16,8,8,47,0,8,14,0,8,0,0,0
0,0,18,10,10,57,0,9,20,0,9,0,0,0
0,0,8,4,4,24,0,4,8,0,4,0,0,0
0,0,8,5,5,26,0,4,8,0,4,0,0,0
0,0,2,1,1,6,0,1,2,0,1,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,4,3,3,14,0,2,4,0,2,0,0,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,47,0,8,14,0,8,0,0,0
0,0,14,7,7,43,0,7,16,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,9,54,0,9,16,0,9,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,16,9,8,48,0,8,14,0,8,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,12,7,7,38,0,6,12,0,6,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
0,0,2,1,1,6,0,1,2,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,8,4,4,24,0,4,8,0,4,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,16,9,10,52,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,8,5,5,26,0,4,8,0,4,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,8,48,0,8,14,0,8,0,0,0
0,0,12,6,7,39,0,7,14,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,12,6,6,37,0,7,12,0,7,0,0,0
0,0,18,10,8,52,0,8,16,0,8,0,0,0
0,0,12,6,8,40,0,7,14,0,7,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,18,10,9,54,0,9,16,0,9,0,0,0
0,0,14,7,8,44,0,7,16,0,7,0,0,0
0,0,18,9,9,53,0,9,16,0,9,0,0,0
0,0,14,8,8,46,0,8,16,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,7,7,45,0,8,14,0,8,0,0,0
0,0,14,9,9,47,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,15,7,7,44,0,8,14,0,8,0,0,0
0,0,17,10,10,54,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,6,40,0,7,12,0,7,0,0,0
0,0,14,8,9,46,0,7,16,0,7,0,0,0
0,0,14,7,7,41,0,7,13,0,7,0,0,0
0,0,10,6,6,33,0,5,11,0,5,0,0,0
0,0,12,6,6,37,0,7,12,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,16,8,8,47,0,8,14,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,8,18,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,7,7,44,0,7,14,0,7,0,0,0
0,0,16,10,10,53,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,41,0,6,14,0,6,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,12,7,7,38,0,6,12,0,6,0,0,0
0,0,16,8,7,46,0,8,14,0,8,0,0,0
0,0,16,9,10,51,0,8,17,0,8,0,0,0
0,0,10,5,5,32,0,6,11,0,6,0,0,0
0,0,16,9,9,49,0,7,16,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,9,54,0,9,16,0,9,0,0,0
0,0,13,6,7,40,0,7,14,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,13,7,7,40,0,6,14,0,6,0,0,0
0,0,12,6,6,37,0,7,12,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,49,0,9,16,0,9,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,8,4,4,25,0,5,8,0,5,0,0,0
0,0,12,7,7,37,0,5,12,0,5,0,0,0
0,0,8,4,4,24,0,4,8,0,4,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,12,7,7,37,0,6,10,0,6,0,0,0
0,0,10,5,5,32,0,6,12,0,6,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,41,0,7,12,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,51,0,8,18,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,8,8,45,0,8,14,0,8,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,8,5,5,26,0,4,8,0,4,0,0,0
0,0,10,5,5,30,0,5,10,0,5,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,18,10,7,51,0,9,14,0,9,0,0,0
0,0,10,5,8,35,0,5,14,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,7,7,38,0,6,12,0,6,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,18,10,10,56,0,9,18,0,9,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,51,0,9,16,0,9,0,0,0
0,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,2,2,2,8,0,1,2,0,1,0,0,0
0,0,8,4,4,24,0,4,8,0,4,0,0,0
0,0,14,7,7,43,0,8,14,0,8,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,15,8,8,46,0,8,14,0,8,0,0,0
0,0,15,8,8,47,0,8,16,0,8,0,0,0
0,0,12,5,5,32,0,5,10,0,5,0,0,0
0,0,16,10,10,53,0,8,18,0,8,0,0,0
0,0,12,6,6,37,0,7,12,0,7,0,0,0
0,0,18,10,10,55,0,8,18,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,12,6,6,36,0,6,12,0,6,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,8,8,45,0,8,14,0,8,0,0,0
1,0,16,8,8,47,0,7,16,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,7,7,45,0,8,14,0,8,0,0,0
0,0,12,7,7,39,0,6,14,0,6,0,0,0
0,0,10,6,6,32,0,5,10,0,5,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,14,8,8,44,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,14,7,7,42,0,7,14,0,7,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
0,0,16,9,9,50,0,8,16,0,8,0,0,0
0,0,16,8,8,48,0,8,16,0,8,0,0,0
